x	y	yaw
1.78297	0.164582	0.153671	
1.78316	0.164393	0.153793	
1.78302	0.164408	0.153775	
1.78303	0.164745	0.153656	
1.78315	0.164628	0.153672	
1.78316	0.164446	0.153776	
1.78313	0.164293	0.153786	
1.78293	0.164461	0.153672	
1.78287	0.164481	0.153653	
1.78296	0.164426	0.153705	
1.78316	0.164373	0.153797	
1.78302	0.164551	0.153681	
1.78325	0.164327	0.153766	
1.78316	0.164448	0.153672	
1.78316	0.164411	0.153735	
1.78318	0.164357	0.153789	
1.78303	0.164604	0.153659	
1.78314	0.164432	0.153746	
1.783	0.164567	0.153647	
1.78305	0.16441	0.153762	
1.78305	0.164487	0.153717	
1.78301	0.16445	0.153701	
1.78305	0.164268	0.153804	
1.78289	0.164009	0.153863	
1.78288	0.163924	0.153906	
1.78287	0.163982	0.153883	
1.78288	0.164009	0.153841	
1.78298	0.164026	0.153839	
1.78293	0.164006	0.153855	
1.78297	0.164138	0.153833	
1.78273	0.164319	0.153681	
1.7829	0.164498	0.153645	
1.78301	0.164438	0.153711	
1.78297	0.164476	0.153713	
1.78309	0.164436	0.153733	
1.78296	0.164536	0.153674	
1.78305	0.164789	0.153577	
1.78307	0.164747	0.153605	
1.78304	0.164678	0.153659	
1.78295	0.164441	0.153727	
1.78299	0.164671	0.153625	
1.78319	0.164433	0.153753	
1.78326	0.164407	0.153745	
1.78337	0.164439	0.153769	
1.78331	0.164535	0.153735	
1.78308	0.164689	0.153659	
1.78305	0.164339	0.153786	
1.78296	0.164497	0.153678	
1.78317	0.164698	0.153634	
1.78304	0.164708	0.153615	
1.78306	0.164589	0.153663	
1.78328	0.16441	0.153768	
1.78318	0.164478	0.153715	
1.78323	0.164548	0.153682	
1.78315	0.164574	0.153663	
1.78322	0.164717	0.153648	
1.78317	0.164587	0.153703	
1.78301	0.1647	0.153643	
1.78275	0.164865	0.153522	
1.78306	0.164767	0.153561	
1.783	0.164806	0.153579	
1.78317	0.164756	0.153624	
1.7833	0.164583	0.153725	
1.78323	0.164719	0.153645	
1.78312	0.16478	0.153605	
1.78309	0.164698	0.153675	
1.78295	0.164599	0.153673	
1.78294	0.164342	0.153781	
1.78292	0.164439	0.153684	
1.78295	0.164546	0.153654	
1.78318	0.164391	0.153818	
1.78299	0.164688	0.153601	
1.78326	0.164483	0.153771	
1.78316	0.164651	0.153666	
1.78317	0.164461	0.153746	
1.78311	0.164553	0.153651	
1.78304	0.164753	0.153605	
1.783	0.164754	0.153602	
1.78304	0.16458	0.153676	
1.78303	0.164557	0.153691	
1.78319	0.164147	0.153871	
1.78318	0.164318	0.153793	
1.78312	0.164281	0.15377	
1.783	0.164627	0.153665	
1.7831	0.164557	0.153698	
1.78321	0.164556	0.153673	
1.78334	0.164632	0.15367	
1.78331	0.164586	0.153677	
1.7834	0.164475	0.153745	
1.78321	0.164521	0.153669	
1.78307	0.164366	0.153718	
1.78283	0.164411	0.15367	
1.78294	0.164722	0.153538	
1.78319	0.164528	0.153705	
1.78319	0.165135	0.153431	
1.78318	0.165001	0.153556	
1.78332	0.16453	0.153777	
1.78321	0.164607	0.15368	
1.78304	0.164718	0.15361	
1.7831	0.164631	0.153655	
1.7831	0.164737	0.153582	
1.78331	0.1646	0.153683	
1.78303	0.164569	0.153652	
1.78284	0.164527	0.153643	
1.783	0.164386	0.153704	
1.78293	0.164442	0.153702	
1.78288	0.164465	0.153642	
1.78294	0.164394	0.153694	
1.78288	0.164566	0.153646	
1.78315	0.164449	0.153735	
1.78309	0.164467	0.15373	
1.78311	0.164475	0.153741	
1.78292	0.164648	0.153617	
1.78295	0.1646	0.153658	
1.78309	0.164395	0.153727	
1.78304	0.164492	0.153696	
1.78291	0.164528	0.153671	
1.78296	0.164582	0.153644	
1.78303	0.164661	0.153614	
1.7831	0.164604	0.153664	
1.78299	0.164682	0.153617	
1.78302	0.164683	0.153644	
1.78318	0.16441	0.153763	
1.78321	0.164376	0.153798	
1.78309	0.164396	0.153768	
1.78314	0.16444	0.153719	
1.78312	0.164462	0.153715	
1.78314	0.16442	0.153731	
1.78313	0.164356	0.153748	
1.78316	0.164682	0.153625	
1.78329	0.164683	0.153636	
1.78308	0.164517	0.153684	
1.78304	0.164482	0.153683	
1.78301	0.1645	0.153669	
1.78291	0.164793	0.15352	
1.78304	0.164965	0.153476	
1.78323	0.164699	0.15366	
1.78318	0.164914	0.153542	
1.78316	0.164763	0.15362	
1.78339	0.164444	0.153779	
1.78331	0.164473	0.153734	
1.78318	0.164459	0.153726	
1.78319	0.164453	0.153695	
1.78308	0.164344	0.153731	
1.78325	0.164402	0.153754	
1.7832	0.164522	0.153668	
1.78309	0.164568	0.153657	
1.78316	0.164436	0.153732	
1.78297	0.16451	0.153684	
1.78309	0.164559	0.153706	
1.78325	0.164414	0.153796	
1.78309	0.164601	0.153656	
1.78307	0.164564	0.153645	
1.78302	0.164614	0.15365	
1.78291	0.164833	0.15354	
1.78294	0.164606	0.153642	
1.78304	0.164278	0.153772	
1.78303	0.16452	0.153667	
1.78295	0.164506	0.153663	
1.78282	0.164712	0.153561	
1.78301	0.164563	0.153681	
